ethnicity,zip1,act,legacy,n_applicants,n_admits
East Asian,1,35,TRUE,111,57
East Asian,1,36,TRUE,62,46
East Asian,2,32,TRUE,NA,NA
East Asian,2,33,TRUE,NA,NA
East Asian,2,34,TRUE,NA,NA
East Asian,2,35,TRUE,62,33
East Asian,2,36,TRUE,NA,NA
East Asian,3,32,TRUE,NA,NA
East Asian,3,33,TRUE,NA,NA
East Asian,3,34,TRUE,NA,NA
East Asian,3,35,TRUE,NA,NA
East Asian,3,36,TRUE,NA,NA
East Asian,4,32,TRUE,NA,NA
East Asian,4,33,TRUE,NA,NA
East Asian,4,34,TRUE,NA,NA
East Asian,4,35,TRUE,NA,NA
East Asian,4,36,TRUE,NA,NA
East Asian,5,32,TRUE,NA,NA
East Asian,5,33,TRUE,NA,NA
East Asian,5,34,TRUE,NA,NA
East Asian,5,35,TRUE,NA,NA
East Asian,5,36,TRUE,NA,NA
East Asian,6,32,TRUE,NA,NA
East Asian,6,33,TRUE,NA,NA
East Asian,6,34,TRUE,NA,NA
East Asian,6,35,TRUE,NA,NA
East Asian,6,36,TRUE,NA,NA
East Asian,7,32,TRUE,NA,NA
East Asian,7,33,TRUE,NA,NA
East Asian,7,34,TRUE,NA,NA
East Asian,7,35,TRUE,NA,NA
East Asian,7,36,TRUE,NA,NA
East Asian,8,32,TRUE,NA,NA
East Asian,8,33,TRUE,NA,NA
East Asian,8,34,TRUE,NA,NA
East Asian,8,35,TRUE,NA,NA
East Asian,8,36,TRUE,NA,NA
East Asian,9,32,TRUE,53,3
East Asian,9,33,TRUE,92,19
East Asian,9,34,TRUE,163,45
East Asian,9,35,TRUE,198,65
East Asian,9,36,TRUE,100,43
